Sito;Lissone;
Data e ora del report;2017/12/13 07:50:44 ;Dalla data;2017/12/12 00:00:00 ;Alla data;2017/12/13 00:00:00 ;Frequenza;15 min.;
;LabPTsx-T;LabPTsx-U;LabPTdx-T;LabPTdx-U;cacli-T;cacli-U;LabPSsx-T;LabPSsx-U;LabPSdx-T;LabPSdx-U
2017/12/12 00:15:00 ;19.80     ;30.10     ;20.20     ;28.70     ;18.00     ;33.70     ;19.20     ;30.60     ;20.90     ;27.70     
2017/12/12 00:30:00 ;19.80     ;30.10     ;20.10     ;28.70     ;18.00     ;33.70     ;19.20     ;30.60     ;20.90     ;27.70     
2017/12/12 00:45:00 ;19.70     ;30.10     ;20.10     ;28.70     ;18.30     ;33.70     ;19.20     ;30.60     ;20.90     ;27.70     
2017/12/12 01:00:00 ;19.70     ;30.10     ;20.10     ;29.20     ;18.40     ;33.70     ;19.30     ;30.60     ;20.90     ;27.70     
2017/12/12 01:15:00 ;19.50     ;30.60     ;19.90     ;29.20     ;18.50     ;33.70     ;19.30     ;30.60     ;20.60     ;27.70     
2017/12/12 01:30:00 ;19.50     ;30.60     ;19.90     ;29.20     ;18.60     ;33.70     ;19.20     ;30.60     ;20.60     ;27.70     
2017/12/12 01:45:00 ;19.40     ;30.60     ;19.90     ;29.20     ;18.60     ;33.70     ;19.20     ;30.60     ;20.70     ;27.70     
2017/12/12 02:00:00 ;19.40     ;30.60     ;19.80     ;29.20     ;18.60     ;33.70     ;19.20     ;30.60     ;20.70     ;27.70     
2017/12/12 02:15:00 ;19.40     ;30.60     ;19.80     ;29.20     ;18.70     ;33.70     ;19.20     ;30.60     ;20.70     ;27.70     
2017/12/12 02:30:00 ;19.30     ;30.60     ;19.70     ;29.20     ;18.70     ;33.70     ;19.20     ;30.60     ;20.70     ;27.70     
2017/12/12 02:45:00 ;19.30     ;30.60     ;19.70     ;29.20     ;18.70     ;33.70     ;19.20     ;30.60     ;20.70     ;27.70     
2017/12/12 03:00:00 ;19.30     ;30.60     ;19.70     ;29.20     ;18.40     ;33.70     ;19.20     ;30.60     ;20.80     ;27.70     
2017/12/12 03:15:00 ;19.20     ;30.60     ;19.60     ;29.20     ;18.60     ;33.70     ;19.20     ;30.60     ;20.60     ;27.70     
2017/12/12 03:30:00 ;19.10     ;30.60     ;19.50     ;29.20     ;18.60     ;33.70     ;19.10     ;30.60     ;20.50     ;27.70     
2017/12/12 03:45:00 ;19.10     ;30.60     ;19.50     ;29.20     ;18.60     ;33.70     ;19.10     ;30.60     ;20.60     ;27.70     
2017/12/12 04:00:00 ;19.10     ;30.60     ;19.50     ;29.20     ;18.70     ;33.70     ;19.10     ;30.10     ;20.70     ;27.70     
2017/12/12 04:15:00 ;19.10     ;30.60     ;19.50     ;29.20     ;18.70     ;33.70     ;19.10     ;30.10     ;20.70     ;27.70     
2017/12/12 04:30:00 ;19.10     ;30.60     ;19.50     ;29.20     ;18.70     ;33.20     ;19.10     ;30.10     ;20.60     ;27.70     
2017/12/12 04:45:00 ;19.10     ;30.60     ;19.50     ;29.20     ;18.70     ;33.20     ;19.10     ;30.10     ;20.60     ;27.70     
2017/12/12 05:00:00 ;19.00     ;30.60     ;19.40     ;29.20     ;18.80     ;33.20     ;19.10     ;30.10     ;20.60     ;27.70     
2017/12/12 05:15:00 ;19.00     ;30.60     ;19.40     ;29.20     ;18.80     ;33.20     ;19.10     ;30.10     ;20.60     ;27.70     
2017/12/12 05:30:00 ;19.00     ;30.60     ;19.40     ;29.20     ;18.80     ;33.20     ;19.00     ;30.10     ;20.60     ;27.70     
2017/12/12 05:45:00 ;19.00     ;30.60     ;19.40     ;29.20     ;18.80     ;33.20     ;19.00     ;30.10     ;20.50     ;27.70     
2017/12/12 06:00:00 ;19.00     ;30.60     ;19.40     ;29.20     ;18.80     ;33.20     ;19.00     ;30.10     ;20.50     ;27.70     
2017/12/12 06:15:00 ;19.00     ;31.10     ;19.30     ;29.70     ;18.80     ;33.20     ;19.00     ;30.10     ;20.50     ;27.70     
2017/12/12 06:30:00 ;19.00     ;31.10     ;19.30     ;29.70     ;18.80     ;33.20     ;19.00     ;30.10     ;20.50     ;27.70     
2017/12/12 06:45:00 ;19.90     ;30.60     ;20.20     ;29.20     ;18.80     ;33.20     ;18.90     ;30.10     ;20.40     ;27.70     
2017/12/12 07:00:00 ;21.00     ;29.10     ;21.30     ;27.70     ;18.80     ;33.20     ;18.90     ;30.10     ;20.40     ;27.70     
2017/12/12 07:15:00 ;21.60     ;28.10     ;21.90     ;27.20     ;18.80     ;33.20     ;18.90     ;30.10     ;20.40     ;27.70     
2017/12/12 07:30:00 ;21.90     ;28.10     ;22.00     ;26.70     ;18.60     ;33.20     ;18.90     ;30.10     ;20.50     ;27.70     
2017/12/12 07:45:00 ;21.70     ;28.10     ;21.80     ;26.70     ;18.60     ;33.20     ;18.90     ;30.10     ;20.50     ;27.70     
2017/12/12 08:00:00 ;21.40     ;28.10     ;21.40     ;26.70     ;18.50     ;33.20     ;19.10     ;30.10     ;21.00     ;27.70     
2017/12/12 08:15:00 ;21.60     ;28.10     ;21.80     ;26.70     ;18.50     ;33.20     ;19.80     ;29.60     ;22.30     ;26.20     
2017/12/12 08:30:00 ;21.40     ;28.10     ;21.30     ;27.20     ;18.20     ;33.70     ;20.00     ;29.10     ;22.10     ;25.70     
2017/12/12 08:45:00 ;21.30     ;28.10     ;21.40     ;27.20     ;18.10     ;33.70     ;19.70     ;29.10     ;22.00     ;26.20     
2017/12/12 09:00:00 ;21.50     ;28.10     ;21.50     ;27.20     ;18.30     ;33.70     ;20.00     ;29.10     ;22.00     ;25.70     
2017/12/12 09:15:00 ;21.40     ;28.10     ;21.50     ;27.20     ;18.60     ;33.70     ;19.90     ;29.10     ;22.00     ;25.70     
2017/12/12 09:30:00 ;21.30     ;28.10     ;21.30     ;27.20     ;18.80     ;33.70     ;19.80     ;29.10     ;21.70     ;26.20     
2017/12/12 09:45:00 ;21.40     ;28.10     ;21.40     ;27.20     ;18.90     ;33.70     ;20.00     ;29.10     ;22.20     ;26.20     
2017/12/12 10:00:00 ;21.40     ;28.10     ;21.30     ;27.20     ;18.90     ;33.70     ;20.10     ;28.60     ;22.60     ;26.20     
2017/12/12 10:15:00 ;21.50     ;28.10     ;21.50     ;27.80     ;19.10     ;33.70     ;20.40     ;28.60     ;23.10     ;26.20     
2017/12/12 10:30:00 ;21.60     ;28.10     ;21.60     ;27.80     ;19.20     ;33.70     ;20.70     ;28.60     ;23.40     ;26.20     
2017/12/12 10:45:00 ;21.70     ;28.10     ;21.70     ;27.80     ;19.10     ;34.20     ;21.00     ;29.10     ;23.80     ;26.20     
2017/12/12 11:00:00 ;21.70     ;29.10     ;21.60     ;28.80     ;19.10     ;35.20     ;21.30     ;29.60     ;23.60     ;26.20     
2017/12/12 11:15:00 ;21.50     ;31.10     ;21.30     ;30.30     ;19.10     ;35.70     ;20.80     ;30.60     ;22.60     ;28.20     
2017/12/12 11:30:00 ;21.30     ;31.60     ;21.20     ;31.80     ;19.00     ;37.20     ;20.60     ;31.60     ;22.20     ;29.20     
2017/12/12 11:45:00 ;21.60     ;31.60     ;21.60     ;31.80     ;19.00     ;38.20     ;20.40     ;32.60     ;22.00     ;30.30     
2017/12/12 12:00:00 ;21.30     ;33.60     ;21.30     ;32.80     ;18.90     ;39.20     ;20.40     ;33.10     ;22.00     ;31.30     
2017/12/12 12:15:00 ;21.60     ;33.60     ;21.60     ;32.80     ;18.60     ;42.90     ;20.20     ;35.20     ;21.60     ;34.10     
2017/12/12 12:30:00 ;21.50     ;33.60     ;21.50     ;32.80     ;16.70     ;50.50     ;19.30     ;40.00     ;20.80     ;37.60     
2017/12/12 12:45:00 ;21.60     ;33.60     ;21.70     ;32.80     ;17.40     ;48.50     ;19.80     ;38.00     ;21.60     ;36.10     
2017/12/12 13:00:00 ;21.30     ;33.60     ;21.40     ;32.80     ;18.00     ;46.50     ;20.20     ;37.50     ;22.20     ;35.10     
2017/12/12 13:15:00 ;21.80     ;33.60     ;22.00     ;32.80     ;18.30     ;45.50     ;21.00     ;36.00     ;23.00     ;33.60     
2017/12/12 13:30:00 ;21.70     ;33.60     ;21.80     ;32.80     ;18.50     ;45.00     ;21.30     ;35.50     ;23.40     ;32.60     
2017/12/12 13:45:00 ;21.40     ;34.10     ;21.50     ;33.80     ;18.50     ;44.50     ;20.90     ;36.00     ;22.80     ;33.10     
2017/12/12 14:00:00 ;21.50     ;35.10     ;21.60     ;33.80     ;18.60     ;44.00     ;21.00     ;36.00     ;22.90     ;33.10     
2017/12/12 14:15:00 ;21.40     ;35.10     ;21.50     ;33.80     ;18.80     ;43.00     ;20.80     ;36.00     ;22.30     ;33.10     
2017/12/12 14:30:00 ;21.60     ;35.10     ;21.60     ;33.80     ;18.90     ;42.50     ;20.60     ;36.00     ;22.10     ;33.10     
2017/12/12 14:45:00 ;21.30     ;35.10     ;21.40     ;33.80     ;19.00     ;42.00     ;20.40     ;36.00     ;22.00     ;33.10     
2017/12/12 15:00:00 ;21.40     ;35.10     ;21.70     ;33.80     ;19.10     ;41.50     ;21.00     ;34.80     ;23.20     ;32.10     
2017/12/12 15:15:00 ;21.50     ;35.10     ;21.50     ;33.80     ;19.00     ;41.50     ;21.00     ;34.80     ;22.90     ;31.60     
2017/12/12 15:30:00 ;21.60     ;35.10     ;21.70     ;33.80     ;19.00     ;41.50     ;20.90     ;34.30     ;23.20     ;32.10     
2017/12/12 15:45:00 ;21.50     ;35.10     ;21.50     ;33.80     ;19.10     ;41.50     ;20.90     ;34.80     ;22.80     ;32.10     
2017/12/12 16:00:00 ;21.30     ;35.10     ;21.40     ;33.80     ;18.90     ;41.50     ;20.90     ;34.80     ;23.20     ;32.10     
2017/12/12 16:15:00 ;21.20     ;35.10     ;21.30     ;33.80     ;19.00     ;41.50     ;20.90     ;35.30     ;22.90     ;31.60     
2017/12/12 16:30:00 ;21.40     ;35.10     ;21.60     ;33.80     ;19.10     ;41.50     ;21.10     ;34.80     ;23.30     ;31.60     
2017/12/12 16:45:00 ;21.30     ;35.10     ;21.40     ;33.80     ;19.00     ;41.50     ;20.90     ;34.80     ;22.60     ;32.10     
2017/12/12 17:00:00 ;21.40     ;35.10     ;21.60     ;33.80     ;19.10     ;41.50     ;21.10     ;34.80     ;23.10     ;32.10     
2017/12/12 17:15:00 ;21.40     ;35.10     ;21.50     ;33.80     ;19.10     ;41.00     ;20.50     ;35.30     ;22.20     ;32.60     
2017/12/12 17:30:00 ;21.20     ;35.10     ;21.40     ;33.80     ;19.10     ;41.00     ;20.30     ;35.80     ;22.00     ;33.10     
2017/12/12 17:45:00 ;21.10     ;35.10     ;21.30     ;33.80     ;19.10     ;41.00     ;20.40     ;35.80     ;21.90     ;33.10     
2017/12/12 18:00:00 ;21.30     ;35.10     ;21.50     ;33.80     ;19.10     ;40.50     ;20.40     ;35.80     ;21.80     ;33.10     
2017/12/12 18:15:00 ;21.20     ;35.10     ;21.40     ;35.50     ;19.00     ;40.50     ;20.40     ;35.80     ;21.80     ;33.10     
2017/12/12 18:30:00 ;21.10     ;36.10     ;21.30     ;36.80     ;19.00     ;40.50     ;20.30     ;35.30     ;21.80     ;33.10     
2017/12/12 18:45:00 ;21.30     ;36.20     ;21.50     ;35.30     ;18.90     ;40.50     ;20.30     ;35.30     ;21.80     ;33.10     
2017/12/12 19:00:00 ;21.20     ;36.20     ;21.40     ;35.30     ;19.10     ;39.50     ;20.30     ;35.30     ;21.60     ;32.60     
2017/12/12 19:15:00 ;21.00     ;36.20     ;21.30     ;35.30     ;19.10     ;39.50     ;20.30     ;35.30     ;21.60     ;32.60     
2017/12/12 19:30:00 ;21.20     ;35.70     ;21.60     ;34.80     ;19.10     ;39.50     ;20.30     ;34.80     ;21.70     ;32.60     
2017/12/12 19:45:00 ;21.20     ;35.70     ;21.50     ;34.30     ;18.80     ;39.50     ;20.30     ;34.80     ;21.70     ;32.60     
2017/12/12 20:00:00 ;21.10     ;35.70     ;21.40     ;34.30     ;18.70     ;39.50     ;20.30     ;34.80     ;21.70     ;32.60     
2017/12/12 20:15:00 ;20.90     ;35.70     ;21.30     ;34.30     ;18.50     ;39.50     ;20.20     ;34.80     ;21.70     ;32.10     
2017/12/12 20:30:00 ;21.00     ;35.70     ;21.40     ;34.30     ;18.50     ;39.50     ;20.20     ;34.80     ;21.70     ;32.10     
2017/12/12 20:45:00 ;21.20     ;35.20     ;21.40     ;34.30     ;18.70     ;39.50     ;20.20     ;34.80     ;21.70     ;32.10     
2017/12/12 21:00:00 ;21.00     ;35.20     ;21.40     ;34.30     ;18.80     ;39.50     ;20.20     ;34.80     ;21.60     ;32.10     
2017/12/12 21:15:00 ;20.90     ;35.20     ;21.30     ;34.30     ;18.80     ;39.50     ;20.20     ;34.80     ;21.50     ;32.10     
2017/12/12 21:30:00 ;20.80     ;35.20     ;21.20     ;34.30     ;19.00     ;39.00     ;20.10     ;34.80     ;21.40     ;32.10     
2017/12/12 21:45:00 ;21.00     ;34.70     ;21.30     ;33.80     ;19.00     ;39.00     ;20.10     ;34.80     ;21.40     ;32.10     
2017/12/12 22:00:00 ;20.90     ;34.70     ;21.30     ;33.80     ;19.20     ;38.50     ;20.00     ;34.30     ;21.30     ;32.10     
2017/12/12 22:15:00 ;20.70     ;34.70     ;21.10     ;33.80     ;19.20     ;38.00     ;20.00     ;34.30     ;21.30     ;32.10     
2017/12/12 22:30:00 ;21.00     ;34.20     ;21.30     ;32.80     ;19.20     ;38.00     ;19.90     ;34.30     ;21.30     ;31.60     
2017/12/12 22:45:00 ;20.90     ;34.20     ;21.20     ;32.80     ;19.20     ;37.50     ;19.90     ;34.30     ;21.20     ;31.60     
2017/12/12 23:00:00 ;20.70     ;34.20     ;21.10     ;32.80     ;19.20     ;37.50     ;19.90     ;33.80     ;21.20     ;31.60     
2017/12/12 23:15:00 ;20.60     ;34.20     ;21.00     ;32.80     ;19.20     ;37.00     ;19.80     ;33.80     ;21.10     ;31.10     
