Sito;Lissone;
Data e ora del report;2017/10/23 07:50:32 ;Dalla data;2017/10/22 00:00:00 ;Alla data;2017/10/23 00:00:00 ;Frequenza;15 min.;
;LabPTsx-T;LabPTsx-U;LabPTdx-T;LabPTdx-U;cacli-T;cacli-U;LabPSsx-T;LabPSsx-U;LabPSdx-T;LabPSdx-U
2017/10/22 00:15:00 ;19.60     ;58.90     ;19.50     ;58.50     ;19.70     ;62.00     ;20.10     ;50.10     ;20.40     ;51.40     
2017/10/22 00:30:00 ;19.60     ;58.90     ;19.50     ;59.00     ;19.70     ;62.50     ;20.10     ;50.10     ;20.40     ;51.90     
2017/10/22 00:45:00 ;19.60     ;59.40     ;19.50     ;59.00     ;19.70     ;62.50     ;20.10     ;50.10     ;20.40     ;52.40     
2017/10/22 01:00:00 ;19.60     ;59.40     ;19.50     ;59.50     ;19.70     ;62.50     ;20.10     ;50.60     ;20.40     ;52.40     
2017/10/22 01:15:00 ;19.60     ;59.90     ;19.50     ;59.50     ;19.70     ;62.50     ;20.10     ;50.60     ;20.40     ;52.40     
2017/10/22 01:30:00 ;19.50     ;59.90     ;19.40     ;60.00     ;19.70     ;63.00     ;20.00     ;51.10     ;20.30     ;52.40     
2017/10/22 01:45:00 ;19.50     ;59.90     ;19.40     ;60.00     ;19.70     ;63.00     ;20.00     ;51.10     ;20.30     ;52.40     
2017/10/22 02:00:00 ;19.50     ;60.40     ;19.40     ;60.00     ;19.60     ;63.00     ;20.00     ;51.10     ;20.30     ;52.40     
2017/10/22 02:15:00 ;19.50     ;60.40     ;19.40     ;60.00     ;19.60     ;63.00     ;20.00     ;51.10     ;20.30     ;52.40     
2017/10/22 02:30:00 ;19.50     ;60.40     ;19.40     ;60.50     ;19.60     ;63.00     ;20.00     ;51.10     ;20.30     ;52.40     
2017/10/22 02:45:00 ;19.40     ;60.40     ;19.30     ;60.50     ;19.60     ;63.00     ;20.00     ;51.10     ;20.30     ;52.40     
2017/10/22 03:00:00 ;19.40     ;60.90     ;19.30     ;60.50     ;19.60     ;63.00     ;20.00     ;51.60     ;20.30     ;52.90     
2017/10/22 03:15:00 ;19.40     ;60.90     ;19.30     ;61.00     ;19.60     ;63.00     ;20.00     ;51.60     ;20.30     ;52.90     
2017/10/22 03:30:00 ;19.40     ;60.90     ;19.30     ;61.00     ;19.60     ;63.00     ;20.00     ;51.60     ;20.30     ;52.90     
2017/10/22 03:45:00 ;19.40     ;60.90     ;19.30     ;61.00     ;19.60     ;63.00     ;20.00     ;51.60     ;20.30     ;52.90     
