Sito;Lissone;
Data e ora del report;2017/11/10 07:50:53 ;Dalla data;2017/11/9 00:00:00  ;Alla data;2017/11/10 00:00:00 ;Frequenza;15 min.;
;LabPTsx-T;LabPTsx-U;LabPTdx-T;LabPTdx-U;cacli-T;cacli-U;LabPSsx-T;LabPSsx-U;LabPSdx-T;LabPSdx-U
2017/11/9 00:15:00  ;20.80     ;46.40     ;21.00     ;45.30     ;19.60     ;50.00     ;20.90     ;41.20     ;22.20     ;40.10     
2017/11/9 00:30:00  ;20.80     ;46.40     ;21.00     ;45.30     ;19.70     ;50.00     ;20.90     ;41.20     ;22.20     ;40.10     
2017/11/9 00:45:00  ;20.80     ;46.40     ;21.00     ;45.30     ;19.70     ;50.00     ;20.90     ;41.70     ;22.20     ;40.60     
2017/11/9 01:00:00  ;20.80     ;46.40     ;21.00     ;45.30     ;19.80     ;50.00     ;20.90     ;41.20     ;22.20     ;40.60     
2017/11/9 01:15:00  ;20.80     ;46.40     ;21.00     ;45.30     ;19.80     ;50.00     ;20.90     ;41.20     ;22.30     ;40.60     
2017/11/9 01:30:00  ;20.80     ;46.40     ;21.00     ;45.30     ;19.80     ;50.00     ;20.90     ;41.20     ;22.30     ;40.60     
2017/11/9 01:45:00  ;20.80     ;46.40     ;21.00     ;45.30     ;19.70     ;50.00     ;20.90     ;41.20     ;22.30     ;40.60     
2017/11/9 02:00:00  ;20.80     ;46.40     ;21.00     ;45.30     ;19.70     ;50.00     ;20.90     ;41.20     ;22.30     ;40.60     
2017/11/9 02:15:00  ;20.80     ;46.40     ;21.00     ;45.30     ;19.80     ;50.00     ;21.00     ;41.20     ;22.30     ;40.60     
2017/11/9 02:30:00  ;20.80     ;46.40     ;21.00     ;45.30     ;19.90     ;50.00     ;21.00     ;41.20     ;22.30     ;40.60     
2017/11/9 02:45:00  ;20.80     ;46.40     ;21.00     ;45.30     ;20.00     ;50.00     ;21.00     ;41.20     ;22.30     ;40.60     
2017/11/9 03:00:00  ;20.80     ;46.40     ;21.00     ;45.30     ;20.00     ;49.50     ;21.00     ;41.20     ;22.30     ;40.60     
2017/11/9 03:15:00  ;20.80     ;46.40     ;21.00     ;45.30     ;20.00     ;49.50     ;21.00     ;41.20     ;22.30     ;40.60     
2017/11/9 03:30:00  ;20.80     ;46.40     ;21.00     ;45.30     ;20.00     ;49.50     ;21.00     ;41.20     ;22.30     ;40.60     
2017/11/9 03:45:00  ;20.80     ;46.40     ;21.10     ;45.30     ;20.00     ;49.50     ;21.00     ;41.20     ;22.30     ;40.60     
2017/11/9 04:00:00  ;20.80     ;46.40     ;21.10     ;45.30     ;20.00     ;49.50     ;21.00     ;40.70     ;22.30     ;40.60     
2017/11/9 04:15:00  ;20.80     ;46.40     ;21.10     ;45.30     ;20.00     ;49.50     ;21.00     ;41.20     ;22.30     ;40.60     
2017/11/9 04:30:00  ;20.80     ;46.40     ;21.10     ;45.30     ;20.00     ;49.50     ;21.00     ;40.70     ;22.30     ;40.60     
2017/11/9 04:45:00  ;20.80     ;46.40     ;21.10     ;45.30     ;20.00     ;49.50     ;21.00     ;40.70     ;22.30     ;40.60     
2017/11/9 05:00:00  ;20.90     ;46.40     ;21.10     ;45.30     ;20.00     ;49.50     ;21.00     ;40.70     ;22.30     ;40.60     
2017/11/9 05:15:00  ;20.90     ;46.40     ;21.10     ;45.30     ;19.90     ;49.50     ;21.00     ;41.20     ;22.30     ;40.60     
2017/11/9 05:30:00  ;20.90     ;46.40     ;21.10     ;45.30     ;19.80     ;49.50     ;21.00     ;41.20     ;22.30     ;40.60     
2017/11/9 05:45:00  ;20.90     ;46.40     ;21.10     ;45.30     ;19.80     ;49.50     ;21.00     ;41.20     ;22.30     ;40.60     
2017/11/9 06:00:00  ;20.90     ;46.40     ;21.10     ;45.30     ;19.80     ;49.50     ;21.00     ;41.20     ;22.30     ;40.60     
2017/11/9 06:15:00  ;20.90     ;46.40     ;21.10     ;45.30     ;19.80     ;49.50     ;21.00     ;41.20     ;22.30     ;40.60     
2017/11/9 06:30:00  ;20.90     ;46.40     ;21.10     ;45.30     ;19.80     ;49.50     ;21.00     ;41.20     ;22.30     ;40.60     
2017/11/9 06:45:00  ;20.90     ;46.40     ;21.10     ;45.30     ;19.80     ;49.50     ;21.00     ;41.20     ;22.40     ;40.60     
2017/11/9 07:00:00  ;20.90     ;46.40     ;21.10     ;45.30     ;19.80     ;49.50     ;21.00     ;41.20     ;22.40     ;40.60     
2017/11/9 07:15:00  ;20.90     ;46.40     ;21.10     ;45.30     ;19.80     ;49.50     ;21.00     ;41.20     ;22.40     ;40.60     
2017/11/9 07:30:00  ;20.90     ;46.40     ;21.10     ;45.30     ;19.80     ;49.50     ;21.00     ;41.20     ;22.40     ;40.60     
2017/11/9 07:45:00  ;20.90     ;46.40     ;21.10     ;45.30     ;19.80     ;49.50     ;21.00     ;41.20     ;22.40     ;40.60     
2017/11/9 08:00:00  ;20.90     ;46.40     ;21.10     ;45.30     ;19.80     ;49.50     ;21.00     ;41.20     ;22.50     ;40.60     
2017/11/9 08:15:00  ;21.10     ;46.40     ;21.30     ;45.30     ;19.70     ;49.50     ;21.10     ;41.20     ;22.50     ;40.60     
2017/11/9 08:30:00  ;22.10     ;44.90     ;22.10     ;44.30     ;19.70     ;49.50     ;21.10     ;41.20     ;22.50     ;40.60     
2017/11/9 08:45:00  ;22.50     ;43.40     ;22.30     ;43.30     ;19.70     ;49.50     ;21.10     ;41.20     ;22.50     ;40.60     
2017/11/9 09:00:00  ;22.50     ;42.90     ;22.10     ;43.30     ;19.80     ;49.50     ;21.20     ;41.20     ;22.60     ;40.60     
2017/11/9 09:15:00  ;22.30     ;43.40     ;22.00     ;43.80     ;19.80     ;49.50     ;21.20     ;41.20     ;22.60     ;40.60     
2017/11/9 09:30:00  ;22.30     ;43.40     ;21.90     ;43.80     ;19.90     ;49.50     ;21.30     ;41.20     ;22.60     ;40.60     
2017/11/9 09:45:00  ;22.30     ;43.40     ;22.10     ;44.30     ;19.90     ;49.50     ;21.30     ;41.20     ;22.70     ;40.60     
2017/11/9 10:00:00  ;22.10     ;43.40     ;21.70     ;44.30     ;19.90     ;49.50     ;21.30     ;41.20     ;22.60     ;40.60     
2017/11/9 10:15:00  ;22.20     ;43.90     ;22.00     ;44.80     ;19.90     ;49.50     ;21.30     ;41.20     ;22.70     ;40.60     
2017/11/9 10:30:00  ;22.50     ;43.90     ;22.30     ;43.80     ;19.90     ;49.50     ;21.30     ;41.20     ;22.70     ;40.60     
2017/11/9 10:45:00  ;22.10     ;43.90     ;21.90     ;44.30     ;20.00     ;49.50     ;21.40     ;41.20     ;22.70     ;40.60     
2017/11/9 11:00:00  ;22.00     ;44.40     ;21.60     ;44.80     ;20.20     ;49.50     ;21.40     ;40.70     ;22.70     ;40.60     
2017/11/9 11:15:00  ;22.40     ;44.40     ;22.20     ;44.30     ;20.20     ;49.50     ;21.40     ;41.10     ;22.70     ;40.60     
2017/11/9 11:30:00  ;22.10     ;44.40     ;21.60     ;44.30     ;20.30     ;49.50     ;21.40     ;39.80     ;22.60     ;41.60     
2017/11/9 11:45:00  ;22.30     ;44.40     ;22.00     ;44.30     ;20.40     ;49.50     ;21.30     ;40.70     ;22.60     ;41.60     
2017/11/9 12:00:00  ;22.20     ;44.40     ;21.80     ;44.30     ;20.40     ;49.50     ;21.20     ;42.20     ;22.50     ;42.60     
2017/11/9 12:15:00  ;22.20     ;44.40     ;21.80     ;44.30     ;20.20     ;49.50     ;21.20     ;42.70     ;22.50     ;42.60     
2017/11/9 12:30:00  ;22.30     ;44.40     ;22.00     ;44.30     ;20.30     ;49.50     ;21.20     ;43.20     ;22.50     ;42.60     
2017/11/9 12:45:00  ;22.40     ;44.40     ;22.20     ;44.30     ;19.50     ;51.50     ;20.60     ;46.60     ;22.40     ;42.60     
2017/11/9 13:00:00  ;22.20     ;44.40     ;22.10     ;44.30     ;19.60     ;52.50     ;20.20     ;47.00     ;21.60     ;44.60     
